Major Function,Sub-Function,Level 3,Level 4,FY11 Dollars
National Defense,Department of Defense-Military,Military Personnel,Military Personnel1,1
National Defense,Department of Defense-Military,Operation and Maintenance,Operation and Maintenance,1
National Defense,Department of Defense-Military,Procurement,Procurement,1
National Defense,Department of Defense-Military,"Research, Development, Test, and Evaluation","Research, Development, Test, and Evaluation",1
National Defense,Department of Defense-Military,Military Construction,Military Construction,1
National Defense,Department of Defense-Military,Family Housing,Family Housing,1
National Defense,Atomic energy defense activities,,,1
National Defense,Defense-related activities,,,1
Transportation,Ground transportation,,,1
Transportation,Air transportation,,,1
Transportation,Water transportation,,,1
Transportation,Other transportation,,,1
"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",,,1
"Education, Training, Employment, and Social Services",Higher education,,,1
"Education, Training, Employment, and Social Services",Research and general education aids,,,1
"Education, Training, Employment, and Social Services",Training and employment,,,1
"Education, Training, Employment, and Social Services",Other labor services,,,1
"Education, Training, Employment, and Social Services",Social services,,,1
Health,Health care services,,,1
Health,Health research and training,,,1
Health,Consumer and occupational health and safety,,,1
Medicare,,,,1
Income Security,General retirement and disability insurance (excluding social security),,,1
Income Security,Federal employee retirement and disability,,,1
Income Security,Unemployment compensation,,,1
Income Security,Housing assistance,,,1
Income Security,Food and nutrition assistance,,,1
Income Security,Other income security,,,1
Social Security,,,,1
Veterans Benefits and Services,Income security for veterans,,,1
Veterans Benefits and Services,"Veterans education, training, and rehabilitation",,,1
Veterans Benefits and Services,Hospital and medical care for veterans,,,1
Veterans Benefits and Services,Veterans housing,,,1
Veterans Benefits and Services,Other veterans benefits and services,,,1
Administration of Justice,Federal law enforcement activities,,,1
Administration of Justice,Federal litigative and judicial activities,,,1
Administration of Justice,Federal correctional activities,,,1
Administration of Justice,Criminal justice assistance,,,1
Net Interest,Interest on Treasury debt securities (gross),,,1
Other,"General Science, Space, and Technology",,,1
Other,Energy,,,1
Other,Agriculture,,,1
Other,General Government,,,1
Other,Community and Regional Development,,,1
Other,International Affairs,,,1
Other,Natural Resources and Environment,,,1
