id,value
BRCA1,303
EGFR,250
TP53,206
ABL1,205
KIT,193
ALK,160
PTEN,156
BRAF,153
BRCA2,152
CDKN2A,138
ERBB2,126
FGFR2,118
MAP2K1,100
PDGFRA,100
PIK3CA,85
FLT3,80
KRAS,74
MET,71
RET,71
VHL,69
MLH1,60
NOTCH1,58
TSC2,56
FGFR3,52
CTNNB1,50
MTOR,49
SMO,46
SMAD4,41
AR,40
ROS1,38
TERT,38
AKT1,35
ERBB4,33
TSC1,33
ST6GAL1,32
JAK2,31
CASC8,30
ESR1,30
NRAS,30
PIK3R1,30
CBL,29
HNF1B,29
NF1,29
PDGFRB,29
RUNX1,29
ERBB3,28
MSH2,28
FBXW7,27
HRAS,27
JAK1,27
SMARCB1,27
PTPRT,26
ERCC2,25
IDH1,25
MAP2K2,25
CDKN2B-AS1,24
IKZF1,24
NTRK1,24
RB1,24
SF3B1,24
STK11,24
NF2,23
NFE2L2,23
PTPN11,23
SMAD3,23
SPOP,22
B4GALT1,21
SMAD2,21
MSH6,20
RAF1,20
APC,19
ATM,19
CHEK2,19
FGFR1,19
RHOA,19
TET2,19
CDK12,18
PMS2,18
CSF3R,17
BAP1,16
DDR2,16
KEAP1,16
CCND1,15
CDH1,15
CLPTM1L,15
EZH2,15
IDH2,15
RAD51B,15
PPP2R1A,14
PRNCR1,14
CARD11,13
CASC16,13
EWSR1,13
FANCA,13
CASC21,12
CDKN2B,12
PIK3CB,12
POLE,12
SH2B3,12
SMARCA4,12
U2AF1,12
BRIP1,11
CASC17,11
FANCC,11
GATA3,11
IRF4,11
MSMB,11
PIK3R2,11
ARAF,10
CCND3,10
CDKN1B,10
ETV6,10
JAK3,10
LOC107986930,10
MAP2K4,10
NTRK3,10
PCAT2,10
PIM1,10
PML,10
PTPRD,10
SMAD7,10
TP63,10
ARID5B,9
B2M,9
GNAS,9
GRAMD1B,9
hsa-mir-200a,9
hsa-mir-200b,9
hsa-mir-200c,9
MAP3K1,9
MYC,9
PBRM1,9
STAT3,9
ZNF365,9
ACOXL,8
ARID1A,8
CASP8,8
CDKN1A,8
DICER1,8
DNAH11,8
EP300,8
FGFR4,8
FOXA1,8
HLA,8
hsa-mir-1-1,8
hsa-mir-124-1,8
hsa-mir-124-2,8
hsa-mir-124-3,8
KLK3,8
MDC1,8
PRDM1,8
RAD50,8
SETD2,8
TGFBR1,8
TMPRSS2,8
TNIP3,8
AKT2,7
BABAM1,7
BCL2,7
BCOR,7
CCDC170,7
DPYD,7
EPAS1,7
ERCC1,7
ERCC4,7
FAT1,7
FLCN,7
GNA11,7
hsa-mir-34a,7
IGF1R,7
KDR,7
KMT2D,7
LRP1B,7
PLCG2,7
RAC1,7
RTEL1,7
SLC45A1,7
SOX9,7
TGFBR2,7
TNRC6B,7
TPMT,7
TYR,7
AKT3,6
AURKA,6
BAK1,6
CCND2,6
CDK4,6
COLCA1,6
CREBBP,6
DNMT3A,6
ELL2,6
ERG,6
HERC2,6
hsa-mir-106b,6
hsa-mir-125b-1,6
hsa-mir-125b-2,6
hsa-mir-126,6
hsa-mir-132,6
hsa-mir-133a-2,6
hsa-mir-143,6
hsa-mir-16-1,6
hsa-mir-17,6
hsa-mir-18a,6
hsa-mir-191,6
hsa-mir-199a-2,6
hsa-mir-19a,6
